order_id,amount_inr,created_at,status,customer_email,merchant_id,store_id
order_24942603,1232.01,01-08-2026 23:12,completed,fk_customer_0@example.com,flipkart,fk_delhi
order_66629388,1101.0,02-08-2026 00:00,completed,fk_customer_1@example.com,flipkart,fk_kolkata
order_70291817,4340.0,19-08-2026 08:46,completed,fk_customer_2@example.com,flipkart,fk_kolkata
order_38898923,1905.84,11-08-2026 03:00,pending,fk_customer_3@example.com,flipkart,fk_mumbai
order_81971316,2764.68,04-08-2026 12:00,completed,fk_customer_4@example.com,flipkart,fk_kolkata
order_16150444,4278.04,08-08-2026 09:00,completed,fk_customer_5@example.com,flipkart,fk_bangalore
order_59684848,1342.22,12-08-2026 06:37,completed,fk_customer_6@example.com,flipkart,fk_kolkata
order_42857966,1357.04,06-08-2026 14:19,completed,fk_customer_7@example.com,flipkart,fk_delhi
order_97971488,4573.59,16-08-2026 12:51,completed,fk_customer_9@example.com,flipkart,fk_kolkata
order_67503414,1104.41,19-08-2026 12:18,completed,fk_customer_10@example.com,flipkart,fk_kolkata
order_30514014,3405.6,21-08-2026 05:45,completed,fk_customer_11@example.com,flipkart,fk_mumbai
order_43744231,3606.4,18-08-2026 00:38,completed,fk_customer_12@example.com,flipkart,fk_mumbai
order_49392920,26.19,14-08-2026 05:24,failed,fk_customer_13@example.com,flipkart,fk_kolkata
order_24282218,3198.36,21-08-2026 09:48,completed,fk_customer_14@example.com,flipkart,fk_delhi
order_17774584,437.41,08-08-2026 18:00,completed,fk_customer_16@example.com,flipkart,fk_mumbai
order_98550256,1332.63,16-08-2026 17:05,completed,fk_customer_17@example.com,flipkart,fk_bangalore
order_63551839,4499.07,21-08-2026 11:23,completed,fk_customer_18@example.com,flipkart,fk_delhi
order_84346088,45.88,08-08-2026 18:09,completed,fk_customer_19@example.com,flipkart,fk_kolkata
order_19510312,3348.2,17-08-2026 07:12,failed,fk_customer_20@example.com,flipkart,fk_mumbai
order_73481353,493.68,14-08-2026 06:01,completed,fk_customer_21@example.com,flipkart,fk_mumbai
order_96728778,3643.79,04-08-2026 01:20,completed,fk_customer_22@example.com,flipkart,fk_bangalore
order_66623995,1256.53,06-08-2026 08:24,completed,fk_customer_23@example.com,flipkart,fk_mumbai
order_97529405,4632.57,18-08-2026 00:00,completed,fk_customer_24@example.com,flipkart,fk_bangalore
order_17869910,4926.69,06-08-2026 11:55,completed,fk_customer_25@example.com,flipkart,fk_delhi
order_98834863,1490.57,16-08-2026 04:07,completed,fk_customer_26@example.com,flipkart,fk_mumbai
order_16729990,4597.74,19-08-2026 15:27,completed,fk_customer_27@example.com,flipkart,fk_mumbai
order_89795010,2101.93,02-08-2026 19:00,failed,fk_customer_29@example.com,flipkart,fk_delhi
order_52169044,663.08,08-08-2026 08:20,failed,fk_customer_30@example.com,flipkart,fk_bangalore
order_71510041,375.57,20-08-2026 18:01,failed,fk_customer_31@example.com,flipkart,fk_kolkata
order_59597086,4170.39,10-08-2026 05:23,failed,fk_customer_32@example.com,flipkart,fk_kolkata
order_16818112,4148.45,03-08-2026 20:22,completed,fk_customer_35@example.com,flipkart,fk_kolkata
order_14835614,748.99,12-08-2026 18:30,completed,fk_customer_37@example.com,flipkart,fk_mumbai
order_31810617,905.01,06-08-2026 12:56,completed,fk_customer_39@example.com,flipkart,fk_bangalore
order_31367172,203.24,04-08-2026 12:50,failed,fk_customer_40@example.com,flipkart,fk_delhi
order_33966966,550.93,19-08-2026 07:57,completed,fk_customer_43@example.com,flipkart,fk_bangalore
order_51511484,3489.07,14-08-2026 10:20,completed,fk_customer_46@example.com,flipkart,fk_bangalore
order_40150759,240.61,07-08-2026 03:56,completed,fk_customer_50@example.com,flipkart,fk_kolkata
order_94525678,3484.81,19-08-2026 06:40,completed,fk_customer_51@example.com,flipkart,fk_bangalore
order_67062156,4790.25,08-08-2026 05:46,completed,fk_customer_52@example.com,flipkart,fk_delhi
order_77750178,4487.07,14-08-2026 17:23,completed,fk_customer_54@example.com,flipkart,fk_bangalore
order_47220099,1203.84,17-08-2026 15:35,completed,fk_customer_55@example.com,flipkart,fk_mumbai
order_82498004,1163.99,03-08-2026 04:04,completed,fk_customer_56@example.com,flipkart,fk_kolkata
order_83300637,1104.91,20-08-2026 07:26,completed,fk_customer_59@example.com,flipkart,fk_mumbai
order_99999999,1500.0,12-08-2026 14:00,completed,orphan_cust@example.com,flipkart,fk_delhi
order_amz_20000000,2185.43,31-07-2026 23:55,completed,amz_customer_0@example.com,amazon,az_delhi
